distance id optim_v-1 optim_v-2 
0.006027464 1 1 1 
13.04961 3 0.7594628 0.8782873 
21.71161 4 0.8606441 0.7588132 
8.908129 5 1.31585 0.7588132 
9.654395 6 1.31585 0.7456388 
0.006027464 7 1 1 
0.006026259 8 1.000001 1 
0.00602867 9 0.999999 1 
0.006024986 10 1 1.000001 
0.006029943 11 1 0.999999 
167.852 12 1.5 1.5 
167.852 13 1.5 1.5 
167.8518 14 1.499999 1.5 
167.852 15 1.5 1.5 
167.8516 16 1.5 1.499999 
0.0003748394 17 1.002449 1.002449 
0.00037454 18 1.00245 1.002449 
0.0003751391 19 1.002448 1.002449 
0.0003742225 20 1.002449 1.00245 
0.000375457 21 1.002449 1.002448 
2.482376e-08 22 1.003259 1.003261 
2.23947e-08 23 1.00326 1.003261 
2.742339e-08 24 1.003258 1.003261 
2.014246e-08 25 1.003259 1.003262 
3.006648e-08 26 1.003259 1.00326 
6.988089e-11 27 1.003266 1.003268 
1.212966e-10 28 1.003267 1.003268 
1.890373e-10 29 1.003265 1.003268 
5.189638e-10 30 1.003266 1.003269 
1.823079e-10 31 1.003266 1.003267 
4.467272e-11 32 1.003266 1.003268 
6.513184e-11 33 1.003267 1.003268 
1.947855e-10 34 1.003265 1.003268 
3.941353e-10 35 1.003266 1.003269 
2.567199e-10 36 1.003266 1.003267 
1.849061e-11 37 1.003267 1.003267 
3.856238e-11 38 1.003268 1.003267 
1.68991e-10 39 1.003266 1.003267 
2.838707e-10 40 1.003267 1.003268 
3.1462e-10 41 1.003267 1.003266 
2.377807e-12 42 1.003267 1.003267 
6.112056e-11 43 1.003268 1.003267 
1.142074e-10 44 1.003266 1.003267 
2.522385e-10 45 1.003267 1.003268 
3.140265e-10 46 1.003267 1.003266 
3.152175e-13 47 1.003267 1.003267 
8.63308e-11 48 1.003268 1.003267 
8.487204e-11 49 1.003266 1.003267 
2.828132e-10 50 1.003267 1.003268 
2.793264e-10 51 1.003267 1.003266 
3.124627e-13 52 1.003267 1.003267 
8.559743e-11 53 1.003268 1.003267 
8.559985e-11 54 1.003266 1.003267 
2.811551e-10 55 1.003267 1.003268 
2.80979e-10 56 1.003267 1.003266 
38.56141 57 1.438567 0.5205663 
13.34271 58 0.5740869 1.135173 
16.60198 59 0.5383146 1.135173 
61.36096 60 0.5383146 1.34557 
27.71978 61 1.468616 1.031755 
21.55369 62 1.258982 0.6166683 
38.56567 63 0.916778 0.6166683 
10.2936 64 1.258982 1.053389 
79.18223 65 1.370037 1.330229 
4.341813 66 1.064986 1.098809 
28.69008 67 1.397382 1.098809 
